,0,1,2
0,1900-01-01 00:00:00,1900-01-01 00:15:00,122
0,1900-01-01 00:15:00,1900-01-01 00:30:00,64
0,1900-01-01 00:30:00,1900-01-01 00:45:00,109
0,1900-01-01 00:45:00,1900-01-01 01:00:00,109
0,1900-01-01 01:00:00,1900-01-01 01:15:00,131
0,1900-01-01 01:15:00,1900-01-01 01:30:00,61
0,1900-01-01 01:30:00,1900-01-01 01:45:00,61
0,1900-01-01 01:45:00,1900-01-01 02:00:00,115
0,1900-01-01 02:00:00,1900-01-01 02:15:00,148
0,1900-01-01 02:15:00,1900-01-01 02:30:00,123
0,1900-01-01 02:30:00,1900-01-01 02:45:00,151
0,1900-01-01 02:45:00,1900-01-01 03:00:00,148
0,1900-01-01 03:00:00,1900-01-01 03:15:00,151
0,1900-01-01 03:15:00,1900-01-01 03:30:00,87
0,1900-01-01 03:30:00,1900-01-01 03:45:00,86
0,1900-01-01 03:45:00,1900-01-01 04:00:00,129
0,1900-01-01 04:00:00,1900-01-01 04:15:00,59
0,1900-01-01 04:15:00,1900-01-01 04:30:00,55
0,1900-01-01 04:30:00,1900-01-01 04:45:00,73
0,1900-01-01 04:45:00,1900-01-01 05:00:00,136
0,1900-01-01 05:00:00,1900-01-01 05:15:00,91
0,1900-01-01 05:15:00,1900-01-01 05:30:00,110
0,1900-01-01 05:30:00,1900-01-01 05:45:00,141
0,1900-01-01 05:45:00,1900-01-01 06:00:00,169
0,1900-01-01 06:00:00,1900-01-01 06:15:00,143
0,1900-01-01 06:15:00,1900-01-01 06:30:00,90
0,1900-01-01 06:30:00,1900-01-01 06:45:00,131
0,1900-01-01 06:45:00,1900-01-01 07:00:00,175
0,1900-01-01 07:00:00,1900-01-01 07:15:00,225
0,1900-01-01 07:15:00,1900-01-01 07:30:00,170
0,1900-01-01 07:30:00,1900-01-01 07:45:00,179
0,1900-01-01 07:45:00,1900-01-01 08:00:00,212
0,1900-01-01 08:00:00,1900-01-01 08:15:00,185
