timeOfData,Total
12:00:00 AM,3104
12:15:00 AM,2734
12:30:00 AM,3193
12:45:00 AM,2889
1:00:00 AM,3099
1:15:00 AM,2701
1:30:00 AM,2695
1:45:00 AM,3050
2:00:00 AM,2884
2:15:00 AM,2743
2:30:00 AM,3131
2:45:00 AM,2932
3:00:00 AM,2785
3:15:00 AM,3045
3:30:00 AM,3411
3:45:00 AM,3142
4:00:00 AM,3351
4:15:00 AM,3199
4:30:00 AM,3570
4:45:00 AM,3729
5:00:00 AM,3663
5:15:00 AM,3695
5:30:00 AM,4016
5:45:00 AM,4622
6:00:00 AM,5774
6:15:00 AM,5668
6:30:00 AM,6160
6:45:00 AM,6304
7:00:00 AM,6896
7:15:00 AM,7013
7:30:00 AM,7548
7:45:00 AM,9174
8:00:00 AM,10726
8:15:00 AM,11893
8:30:00 AM,12518
8:45:00 AM,12615
9:00:00 AM,12730
9:15:00 AM,12162
9:30:00 AM,11482
9:45:00 AM,10415
10:00:00 AM,10102
10:15:00 AM,10231
10:30:00 AM,10587
10:45:00 AM,11122
11:00:00 AM,11233
11:15:00 AM,11437
11:30:00 AM,10717
11:45:00 AM,11812
12:00:00 PM,11714
12:15:00 PM,10511
12:30:00 PM,10150
12:45:00 PM,9449
1:00:00 PM,9190
1:15:00 PM,9082
1:30:00 PM,9755
1:45:00 PM,9459
2:00:00 PM,10635
2:15:00 PM,10640
2:30:00 PM,11107
2:45:00 PM,11126
3:00:00 PM,10177
3:15:00 PM,11654
3:30:00 PM,12550
3:45:00 PM,11552
4:00:00 PM,9477
4:15:00 PM,10521
4:30:00 PM,11419
4:45:00 PM,10636
5:00:00 PM,11067
5:15:00 PM,12001
5:30:00 PM,12000
5:45:00 PM,11905
6:00:00 PM,8974
6:15:00 PM,13918
6:30:00 PM,12436
6:45:00 PM,10689
7:00:00 PM,9743
7:15:00 PM,11714
7:30:00 PM,9444
7:45:00 PM,10138
8:00:00 PM,10616
8:15:00 PM,10240
8:30:00 PM,10896
8:45:00 PM,11928
9:00:00 PM,13265
9:15:00 PM,11721
9:30:00 PM,12223
9:45:00 PM,11879
10:00:00 PM,9754
10:15:00 PM,11137
10:30:00 PM,6767
10:45:00 PM,4626
11:00:00 PM,3821
11:15:00 PM,2931
11:30:00 PM,3165
11:45:00 PM,2936
