timeOfData,Total
1/10/2021 0:00,3104
1/10/2021 0:15,2734
1/10/2021 0:30,3193
1/10/2021 0:45,2889
1/10/2021 1:00,3099
1/10/2021 1:15,2701
1/10/2021 1:30,2695
1/10/2021 1:45,3050
1/10/2021 2:00,2884
1/10/2021 2:15,2743
1/10/2021 2:30,3131
1/10/2021 2:45,2932
1/10/2021 3:00,2785
1/10/2021 3:15,3045
1/10/2021 3:30,3411
1/10/2021 3:45,3142
1/10/2021 4:00,3351
1/10/2021 4:15,3199
1/10/2021 4:30,3570
1/10/2021 4:45,3729
1/10/2021 5:00,3663
1/10/2021 5:15,3695
1/10/2021 5:30,4016
1/10/2021 5:45,4622
1/10/2021 6:00,5774
1/10/2021 6:15,5668
1/10/2021 6:30,6160
1/10/2021 6:45,6304
1/10/2021 7:00,6896
1/10/2021 7:15,7013
1/10/2021 7:30,7548
1/10/2021 7:45,9174
1/10/2021 8:00,10726
1/10/2021 8:15,11893
1/10/2021 8:30,12518
1/10/2021 8:45,12615
1/10/2021 9:00,12730
1/10/2021 9:15,12162
1/10/2021 9:30,11482
1/10/2021 9:45,10415
1/10/2021 10:00,10102
1/10/2021 10:15,10231
1/10/2021 10:30,10587
1/10/2021 10:45,11122
1/10/2021 11:00,11233
1/10/2021 11:15,11437
1/10/2021 11:30,10717
1/10/2021 11:45,11812
1/10/2021 12:00,11714
1/10/2021 12:15,10511
1/10/2021 12:30,10150
1/10/2021 12:45,9449
1/10/2021 13:00,9190
1/10/2021 13:15,9082
1/10/2021 13:30,9755
1/10/2021 13:45,9459
1/10/2021 14:00,10635
1/10/2021 14:15,10640
1/10/2021 14:30,11107
1/10/2021 14:45,11126
1/10/2021 15:00,10177
1/10/2021 15:15,11654
1/10/2021 15:30,12550
1/10/2021 15:45,11552
1/10/2021 16:00,9477
1/10/2021 16:15,10521
1/10/2021 16:30,11419
1/10/2021 16:45,10636
1/10/2021 17:00,11067
1/10/2021 17:15,12001
1/10/2021 17:30,12000
1/10/2021 17:45,11905
1/10/2021 18:00,8974
1/10/2021 18:15,13918
1/10/2021 18:30,12436
1/10/2021 18:45,10689
1/10/2021 19:00,9743
1/10/2021 19:15,11714
1/10/2021 19:30,9444
1/10/2021 19:45,10138
1/10/2021 20:00,10616
1/10/2021 20:15,10240
1/10/2021 20:30,10896
1/10/2021 20:45,11928
1/10/2021 21:00,13265
1/10/2021 21:15,11721
1/10/2021 21:30,12223
1/10/2021 21:45,11879
1/10/2021 22:00,9754
1/10/2021 22:15,11137
1/10/2021 22:30,6767
1/10/2021 22:45,4626
1/10/2021 23:00,3821
1/10/2021 23:15,2931
1/10/2021 23:30,3165
1/10/2021 23:45,2936
2/10/2021 0:00,3104
2/10/2021 0:15,2734
2/10/2021 0:30,3193
2/10/2021 0:45,2889
2/10/2021 1:00,3099
2/10/2021 1:15,2701
2/10/2021 1:30,2695
2/10/2021 1:45,3050
2/10/2021 2:00,2884
2/10/2021 2:15,2743
2/10/2021 2:30,3131
2/10/2021 2:45,2932
2/10/2021 3:00,2785
2/10/2021 3:15,3045
2/10/2021 3:30,3411
2/10/2021 3:45,3142
2/10/2021 4:00,3351
2/10/2021 4:15,3199
2/10/2021 4:30,3570
2/10/2021 4:45,3729
2/10/2021 5:00,3663
2/10/2021 5:15,3695
2/10/2021 5:30,4016
2/10/2021 5:45,4622
2/10/2021 6:00,5774
2/10/2021 6:15,5668
2/10/2021 6:30,6160
2/10/2021 6:45,6304
2/10/2021 7:00,6896
2/10/2021 7:15,7013
2/10/2021 7:30,7548
2/10/2021 7:45,9174
2/10/2021 8:00,10726
2/10/2021 8:15,11893
2/10/2021 8:30,12518
2/10/2021 8:45,12615
2/10/2021 9:00,12730
2/10/2021 9:15,12162
2/10/2021 9:30,11482
2/10/2021 9:45,10415
2/10/2021 10:00,10102
2/10/2021 10:15,10231
2/10/2021 10:30,10587
2/10/2021 10:45,11122
2/10/2021 11:00,11233
2/10/2021 11:15,11437
2/10/2021 11:30,10717
2/10/2021 11:45,11812
2/10/2021 12:00,11714
2/10/2021 12:15,10511
2/10/2021 12:30,10150
2/10/2021 12:45,9449
2/10/2021 13:00,9190
2/10/2021 13:15,9082
2/10/2021 13:30,9755
2/10/2021 13:45,9459
2/10/2021 14:00,10635
2/10/2021 14:15,10640
2/10/2021 14:30,11107
2/10/2021 14:45,11126
2/10/2021 15:00,10177
2/10/2021 15:15,11654
2/10/2021 15:30,12550
2/10/2021 15:45,11552
2/10/2021 16:00,9477
2/10/2021 16:15,10521
2/10/2021 16:30,11419
2/10/2021 16:45,10636
2/10/2021 17:00,11067
2/10/2021 17:15,12001
2/10/2021 17:30,12000
2/10/2021 17:45,11905
2/10/2021 18:00,8974
2/10/2021 18:15,13918
2/10/2021 18:30,12436
2/10/2021 18:45,10689
2/10/2021 19:00,9743
2/10/2021 19:15,11714
2/10/2021 19:30,9444
2/10/2021 19:45,10138
2/10/2021 20:00,10616
2/10/2021 20:15,10240
2/10/2021 20:30,10896
2/10/2021 20:45,11928
2/10/2021 21:00,13265
2/10/2021 21:15,11721
2/10/2021 21:30,12223
2/10/2021 21:45,11879
2/10/2021 22:00,9754
2/10/2021 22:15,11137
2/10/2021 22:30,6767
2/10/2021 22:45,4626
2/10/2021 23:00,3821
2/10/2021 23:15,2931
2/10/2021 23:30,3165
2/10/2021 23:45,2936
3/10/2021 0:00,3104
3/10/2021 0:15,2734
3/10/2021 0:30,3193
3/10/2021 0:45,2889
3/10/2021 1:00,3099
3/10/2021 1:15,2701
3/10/2021 1:30,2695
3/10/2021 1:45,3050
3/10/2021 2:00,2884
3/10/2021 2:15,2743
3/10/2021 2:30,3131
3/10/2021 2:45,2932
3/10/2021 3:00,2785
3/10/2021 3:15,3045
3/10/2021 3:30,3411
3/10/2021 3:45,3142
3/10/2021 4:00,3351
3/10/2021 4:15,3199
3/10/2021 4:30,3570
3/10/2021 4:45,3729
3/10/2021 5:00,3663
3/10/2021 5:15,3695
3/10/2021 5:30,4016
3/10/2021 5:45,4622
3/10/2021 6:00,5774
3/10/2021 6:15,5668
3/10/2021 6:30,6160
3/10/2021 6:45,6304
3/10/2021 7:00,6896
3/10/2021 7:15,7013
3/10/2021 7:30,7548
3/10/2021 7:45,9174
3/10/2021 8:00,10726
3/10/2021 8:15,11893
3/10/2021 8:30,12518
3/10/2021 8:45,12615
3/10/2021 9:00,12730
3/10/2021 9:15,12162
3/10/2021 9:30,11482
3/10/2021 9:45,10415
3/10/2021 10:00,10102
3/10/2021 10:15,10231
3/10/2021 10:30,10587
3/10/2021 10:45,11122
3/10/2021 11:00,11233
3/10/2021 11:15,11437
3/10/2021 11:30,10717
3/10/2021 11:45,11812
3/10/2021 12:00,11714
3/10/2021 12:15,10511
3/10/2021 12:30,10150
3/10/2021 12:45,9449
3/10/2021 13:00,9190
3/10/2021 13:15,9082
3/10/2021 13:30,9755
3/10/2021 13:45,9459
3/10/2021 14:00,10635
3/10/2021 14:15,10640
3/10/2021 14:30,11107
3/10/2021 14:45,11126
3/10/2021 15:00,10177
3/10/2021 15:15,11654
3/10/2021 15:30,12550
3/10/2021 15:45,11552
3/10/2021 16:00,9477
3/10/2021 16:15,10521
3/10/2021 16:30,11419
3/10/2021 16:45,10636
3/10/2021 17:00,11067
3/10/2021 17:15,12001
3/10/2021 17:30,12000
3/10/2021 17:45,11905
