timeOfData,Total
1,3104
2,2734
3,3193
4,2889
5,3099
6,2701
7,2695
8,3050
9,2884
10,2743
11,3131
12,2932
13,2785
14,3045
15,3411
16,3142
17,3351
18,3199
19,3570
20,3729
21,3663
22,3695
23,4016
24,4622
25,5774
26,5668
27,6160
28,6304
29,6896
30,7013
31,7548
32,9174
33,10726
34,11893
35,12518
36,12615
37,12730
38,12162
39,11482
40,10415
41,10102
42,10231
43,10587
44,11122
45,11233
46,11437
47,10717
48,11812
49,11714
50,10511
51,10150
52,9449
53,9190
54,9082
55,9755
56,9459
57,10635
58,10640
59,11107
60,11126
61,10177
62,11654
63,12550
64,11552
65,9477
66,10521
67,11419
68,10636
69,11067
70,12001
71,12000
72,11905
73,8974
74,13918
75,12436
76,10689
77,9743
78,11714
79,9444
80,10138
81,10616
82,10240
83,10896
84,11928
85,13265
86,11721
87,12223
88,11879
89,9754
90,11137
91,6767
92,4626
93,3821
94,2931
95,3165
96,2936
