timeOfData,Total
1/1/1900 0:00,3104
1/1/1900 0:15,2734
1/1/1900 0:30,3193
1/1/1900 0:45,2889
1/1/1900 1:00,3099
1/1/1900 1:15,2701
1/1/1900 1:30,2695
1/1/1900 1:45,3050
1/1/1900 2:00,2884
1/1/1900 2:15,2743
1/1/1900 2:30,3131
1/1/1900 2:45,2932
1/1/1900 3:00,2785
1/1/1900 3:15,3045
1/1/1900 3:30,3411
1/1/1900 3:45,3142
1/1/1900 4:00,3351
1/1/1900 4:15,3199
1/1/1900 4:30,3570
1/1/1900 4:45,3729
1/1/1900 5:00,3663
1/1/1900 5:15,3695
1/1/1900 5:30,4016
1/1/1900 5:45,4622
1/1/1900 6:00,5774
1/1/1900 6:15,5668
1/1/1900 6:30,6160
1/1/1900 6:45,6304
1/1/1900 7:00,6896
1/1/1900 7:15,7013
1/1/1900 7:30,7548
1/1/1900 7:45,9174
1/1/1900 8:00,10726
1/1/1900 8:15,11893
1/1/1900 8:30,12518
1/1/1900 8:45,12615
1/1/1900 9:00,12730
1/1/1900 9:15,12162
1/1/1900 9:30,11482
1/1/1900 9:45,10415
1/1/1900 10:00,10102
1/1/1900 10:15,10231
1/1/1900 10:30,10587
1/1/1900 10:45,11122
1/1/1900 11:00,11233
1/1/1900 11:15,11437
1/1/1900 11:30,10717
1/1/1900 11:45,11812
1/1/1900 12:00,11714
1/1/1900 12:15,10511
1/1/1900 12:30,10150
1/1/1900 12:45,9449
1/1/1900 13:00,9190
1/1/1900 13:15,9082
1/1/1900 13:30,9755
1/1/1900 13:45,9459
1/1/1900 14:00,10635
1/1/1900 14:15,10640
1/1/1900 14:30,11107
1/1/1900 14:45,11126
1/1/1900 15:00,10177
1/1/1900 15:15,11654
1/1/1900 15:30,12550
1/1/1900 15:45,11552
1/1/1900 16:00,9477
1/1/1900 16:15,10521
1/1/1900 16:30,11419
1/1/1900 16:45,10636
1/1/1900 17:00,11067
1/1/1900 17:15,12001
1/1/1900 17:30,12000
1/1/1900 17:45,11905
1/1/1900 18:00,8974
1/1/1900 18:15,13918
1/1/1900 18:30,12436
1/1/1900 18:45,10689
1/1/1900 19:00,9743
1/1/1900 19:15,11714
1/1/1900 19:30,9444
1/1/1900 19:45,10138
1/1/1900 20:00,10616
1/1/1900 20:15,10240
1/1/1900 20:30,10896
1/1/1900 20:45,11928
1/1/1900 21:00,13265
1/1/1900 21:15,11721
1/1/1900 21:30,12223
1/1/1900 21:45,11879
1/1/1900 22:00,9754
1/1/1900 22:15,11137
1/1/1900 22:30,6767
1/1/1900 22:45,4626
1/1/1900 23:00,3821
1/1/1900 23:15,2931
1/1/1900 23:30,3165
1/1/1900 23:45,2936
