time,may (apt1-6),june (apt1-6),july(apt1-6),aug(apt1-6),oct(apt1-4),nov(apt1-4),dec(apt1-4),Total
12:00:00 AM,420,398,512,325,583,482,384,3104
12:15:00 AM,404,292,349,292,515,504,378,2734
12:30:00 AM,469,402,432,341,586,534,429,3193
12:45:00 AM,390,381,475,343,513,431,356,2889
1:00:00 AM,483,443,445,326,477,534,391,3099
1:15:00 AM,416,299,366,339,493,422,366,2701
1:30:00 AM,477,294,451,308,512,331,322,2695
1:45:00 AM,446,408,460,289,581,484,382,3050
2:00:00 AM,399,469,444,277,515,444,336,2884
2:15:00 AM,360,424,398,344,444,451,322,2743
2:30:00 AM,445,519,382,377,540,582,286,3131
2:45:00 AM,395,511,503,380,409,471,263,2932
3:00:00 AM,447,497,409,273,426,390,343,2785
3:15:00 AM,451,391,518,397,485,453,350,3045
3:30:00 AM,654,371,465,388,868,378,287,3411
3:45:00 AM,440,452,511,373,581,439,346,3142
4:00:00 AM,492,361,566,406,641,532,353,3351
4:15:00 AM,513,318,473,416,472,624,383,3199
4:30:00 AM,634,438,555,501,682,503,257,3570
4:45:00 AM,553,575,589,623,539,432,418,3729
5:00:00 AM,636,410,598,410,677,535,397,3663
5:15:00 AM,669,481,553,502,618,538,334,3695
5:30:00 AM,648,720,605,525,722,498,298,4016
5:45:00 AM,835,785,651,735,701,546,369,4622
6:00:00 AM,1026,834,972,750,970,814,408,5774
6:15:00 AM,959,687,926,776,903,853,564,5668
6:30:00 AM,1032,771,946,952,1002,837,620,6160
6:45:00 AM,1108,813,1104,904,815,806,754,6304
7:00:00 AM,1117,1007,975,816,1168,912,901,6896
7:15:00 AM,947,851,901,864,1309,1208,933,7013
7:30:00 AM,1304,913,1035,964,1393,1073,866,7548
7:45:00 AM,1528,1062,1193,1170,1770,1339,1112,9174
8:00:00 AM,1536,1242,1387,1561,1883,1646,1471,10726
8:15:00 AM,1694,1374,1775,1620,1804,1879,1747,11893
8:30:00 AM,1700,1487,2080,1679,2089,1913,1570,12518
8:45:00 AM,1667,1666,2320,1881,1906,1630,1545,12615
9:00:00 AM,1673,1588,2179,1834,2060,1646,1750,12730
9:15:00 AM,1397,1630,2087,1672,2012,1710,1654,12162
9:30:00 AM,1785,1770,1865,1462,1539,1464,1597,11482
9:45:00 AM,1673,1361,1713,1352,1476,1418,1422,10415
10:00:00 AM,1404,1306,1599,1338,1381,1657,1417,10102
10:15:00 AM,1508,1349,1640,1430,1598,1499,1207,10231
10:30:00 AM,1531,1633,1592,1419,1688,1497,1227,10587
10:45:00 AM,1594,1571,1685,1354,1876,1492,1550,11122
11:00:00 AM,1544,1675,1575,1527,1682,1650,1580,11233
11:15:00 AM,1536,1494,1788,1797,1736,1592,1494,11437
11:30:00 AM,1599,1358,1513,1544,1784,1500,1419,10717
11:45:00 AM,1607,1714,1896,1532,1875,1603,1585,11812
12:00:00 PM,1686,1283,1787,1291,2183,1798,1686,11714
12:15:00 PM,1452,1272,1538,1305,1814,1617,1513,10511
12:30:00 PM,1438,1287,1573,1281,1633,1457,1481,10150
12:45:00 PM,1385,1337,1657,1173,1376,1295,1226,9449
1:00:00 PM,1181,1037,1594,1241,1591,1319,1227,9190
1:15:00 PM,1208,1096,1288,1111,1782,1259,1338,9082
1:30:00 PM,1493,1327,1335,1183,1717,1374,1326,9755
1:45:00 PM,1653,1224,1430,903,1664,1326,1259,9459
2:00:00 PM,1563,1414,1645,1005,1824,1613,1571,10635
