,0,1,2
0,1900-01-01 00:00:00,1900-01-01 00:15:00,228
0,1900-01-01 00:15:00,1900-01-01 00:30:00,166
0,1900-01-01 00:30:00,1900-01-01 00:45:00,250
0,1900-01-01 00:45:00,1900-01-01 01:00:00,211
0,1900-01-01 01:00:00,1900-01-01 01:15:00,253
0,1900-01-01 01:15:00,1900-01-01 01:30:00,199
0,1900-01-01 01:30:00,1900-01-01 01:45:00,207
0,1900-01-01 01:45:00,1900-01-01 02:00:00,264
0,1900-01-01 02:00:00,1900-01-01 02:15:00,275
0,1900-01-01 02:15:00,1900-01-01 02:30:00,256
0,1900-01-01 02:30:00,1900-01-01 02:45:00,338
0,1900-01-01 02:45:00,1900-01-01 03:00:00,296
0,1900-01-01 03:00:00,1900-01-01 03:15:00,288
0,1900-01-01 03:15:00,1900-01-01 03:30:00,267
0,1900-01-01 03:30:00,1900-01-01 03:45:00,248
0,1900-01-01 03:45:00,1900-01-01 04:00:00,293
0,1900-01-01 04:00:00,1900-01-01 04:15:00,252
0,1900-01-01 04:15:00,1900-01-01 04:30:00,211
0,1900-01-01 04:30:00,1900-01-01 04:45:00,307
0,1900-01-01 04:45:00,1900-01-01 05:00:00,390
0,1900-01-01 05:00:00,1900-01-01 05:15:00,286
0,1900-01-01 05:15:00,1900-01-01 05:30:00,353
0,1900-01-01 05:30:00,1900-01-01 05:45:00,559
0,1900-01-01 05:45:00,1900-01-01 06:00:00,581
0,1900-01-01 06:00:00,1900-01-01 06:15:00,620
0,1900-01-01 06:15:00,1900-01-01 06:30:00,579
0,1900-01-01 06:30:00,1900-01-01 06:45:00,612
0,1900-01-01 06:45:00,1900-01-01 07:00:00,565
0,1900-01-01 07:00:00,1900-01-01 07:15:00,710
0,1900-01-01 07:15:00,1900-01-01 07:30:00,574
0,1900-01-01 07:30:00,1900-01-01 07:45:00,676
0,1900-01-01 07:45:00,1900-01-01 08:00:00,751
0,1900-01-01 08:00:00,1900-01-01 08:15:00,904
0,1900-01-01 08:15:00,1900-01-01 08:30:00,1096
0,1900-01-01 08:30:00,1900-01-01 08:45:00,1120
0,1900-01-01 08:45:00,1900-01-01 09:00:00,1172
0,1900-01-01 09:00:00,1900-01-01 09:15:00,1128
0,1900-01-01 09:15:00,1900-01-01 09:30:00,1192
0,1900-01-01 09:30:00,1900-01-01 09:45:00,1343
0,1900-01-01 09:45:00,1900-01-01 10:00:00,991
0,1900-01-01 10:00:00,1900-01-01 10:15:00,936
0,1900-01-01 10:15:00,1900-01-01 10:30:00,961
0,1900-01-01 10:30:00,1900-01-01 10:45:00,1202
0,1900-01-01 10:45:00,1900-01-01 11:00:00,1180
0,1900-01-01 11:00:00,1900-01-01 11:15:00,1249
0,1900-01-01 11:15:00,1900-01-01 11:30:00,1139
0,1900-01-01 11:30:00,1900-01-01 11:45:00,1047
0,1900-01-01 11:45:00,1900-01-01 12:00:00,1273
0,1900-01-01 12:00:00,1900-01-01 12:15:00,920
0,1900-01-01 12:15:00,1900-01-01 12:30:00,923
0,1900-01-01 12:30:00,1900-01-01 12:45:00,991
0,1900-01-01 12:45:00,1900-01-01 13:00:00,932
0,1900-01-01 13:00:00,1900-01-01 13:15:00,693
0,1900-01-01 13:15:00,1900-01-01 13:30:00,756
0,1900-01-01 13:30:00,1900-01-01 13:45:00,970
0,1900-01-01 13:45:00,1900-01-01 14:00:00,823
0,1900-01-01 14:00:00,1900-01-01 14:15:00,971
0,1900-01-01 14:15:00,1900-01-01 14:30:00,1036
0,1900-01-01 14:30:00,1900-01-01 14:45:00,1029
0,1900-01-01 14:45:00,1900-01-01 15:00:00,1131
0,1900-01-01 15:00:00,1900-01-01 15:15:00,804
0,1900-01-01 15:15:00,1900-01-01 15:30:00,1008
0,1900-01-01 15:30:00,1900-01-01 15:45:00,1300
0,1900-01-01 15:45:00,1900-01-01 16:00:00,1205
0,1900-01-01 16:00:00,1900-01-01 16:15:00,1045
0,1900-01-01 16:15:00,1900-01-01 16:30:00,1282
0,1900-01-01 16:30:00,1900-01-01 16:45:00,1726
0,1900-01-01 16:45:00,1900-01-01 17:00:00,1423
0,1900-01-01 17:00:00,1900-01-01 17:15:00,1435
0,1900-01-01 17:15:00,1900-01-01 17:30:00,1529
0,1900-01-01 17:30:00,1900-01-01 17:45:00,1866
0,1900-01-01 17:45:00,1900-01-01 18:00:00,1873
0,1900-01-01 18:00:00,1900-01-01 18:15:00,1071
0,1900-01-01 18:15:00,1900-01-01 18:30:00,1591
0,1900-01-01 18:30:00,1900-01-01 18:45:00,1651
0,1900-01-01 18:45:00,1900-01-01 19:00:00,1136
0,1900-01-01 19:00:00,1900-01-01 19:15:00,1180
0,1900-01-01 19:15:00,1900-01-01 19:30:00,1682
0,1900-01-01 19:30:00,1900-01-01 19:45:00,997
0,1900-01-01 19:45:00,1900-01-01 20:00:00,1263
0,1900-01-01 20:00:00,1900-01-01 20:15:00,1516
0,1900-01-01 20:15:00,1900-01-01 20:30:00,1619
0,1900-01-01 20:30:00,1900-01-01 20:45:00,1588
0,1900-01-01 20:45:00,1900-01-01 21:00:00,1658
0,1900-01-01 21:00:00,1900-01-01 21:15:00,2216
0,1900-01-01 21:15:00,1900-01-01 21:30:00,2188
0,1900-01-01 21:30:00,1900-01-01 21:45:00,2422
0,1900-01-01 21:45:00,1900-01-01 22:00:00,2330
0,1900-01-01 22:00:00,1900-01-01 22:15:00,1970
0,1900-01-01 22:15:00,1900-01-01 22:30:00,1930
0,1900-01-01 22:30:00,1900-01-01 22:45:00,1142
0,1900-01-01 22:45:00,1900-01-01 23:00:00,723
0,1900-01-01 23:00:00,1900-01-01 23:15:00,220
0,1900-01-01 23:15:00,1900-01-01 23:30:00,164
0,1900-01-01 23:30:00,1900-01-01 23:45:00,273
0,1900-01-01 23:45:00,1900-01-02 00:00:00,211
