0,
1/1/1900 0:00,398
1/1/1900 0:15,292
1/1/1900 0:30,402
1/1/1900 0:45,381
1/1/1900 1:00,443
1/1/1900 1:15,299
1/1/1900 1:30,294
1/1/1900 1:45,408
1/1/1900 2:00,469
1/1/1900 2:15,424
1/1/1900 2:30,519
1/1/1900 2:45,511
1/1/1900 3:00,497
1/1/1900 3:15,391
1/1/1900 3:30,371
1/1/1900 3:45,452
1/1/1900 4:00,361
1/1/1900 4:15,318
1/1/1900 4:30,438
1/1/1900 4:45,575
1/1/1900 5:00,410
1/1/1900 5:15,481
1/1/1900 5:30,720
1/1/1900 5:45,785
1/1/1900 6:00,834
1/1/1900 6:15,687
1/1/1900 6:30,771
1/1/1900 6:45,813
1/1/1900 7:00,1007
1/1/1900 7:15,851
1/1/1900 7:30,913
1/1/1900 7:45,1062
1/1/1900 8:00,1242
1/1/1900 8:15,1374
1/1/1900 8:30,1487
1/1/1900 8:45,1666
1/1/1900 9:00,1588
1/1/1900 9:15,1630
1/1/1900 9:30,1770
1/1/1900 9:45,1361
1/1/1900 10:00,1306
1/1/1900 10:15,1349
1/1/1900 10:30,1633
1/1/1900 10:45,1571
1/1/1900 11:00,1675
1/1/1900 11:15,1494
1/1/1900 11:30,1358
1/1/1900 11:45,1714
1/1/1900 12:00,1283
1/1/1900 12:15,1272
1/1/1900 12:30,1287
1/1/1900 12:45,1337
1/1/1900 13:00,1037
1/1/1900 13:15,1096
1/1/1900 13:30,1327
1/1/1900 13:45,1224
1/1/1900 14:00,1414
1/1/1900 14:15,1496
1/1/1900 14:30,1491
1/1/1900 14:45,1560
1/1/1900 15:00,1166
1/1/1900 15:15,1411
1/1/1900 15:30,1686
1/1/1900 15:45,1623
1/1/1900 16:00,1448
1/1/1900 16:15,1612
1/1/1900 16:30,2205
1/1/1900 16:45,1917
1/1/1900 17:00,1891
1/1/1900 17:15,2012
1/1/1900 17:30,2376
1/1/1900 17:45,2506
1/1/1900 18:00,1639
1/1/1900 18:15,2054
1/1/1900 18:30,2058
1/1/1900 18:45,1520
1/1/1900 19:00,1521
1/1/1900 19:15,2051
1/1/1900 19:30,1318
1/1/1900 19:45,1594
1/1/1900 20:00,1895
1/1/1900 20:15,1925
1/1/1900 20:30,1883
1/1/1900 20:45,2087
1/1/1900 21:00,2644
1/1/1900 21:15,2737
1/1/1900 21:30,2943
1/1/1900 21:45,2757
1/1/1900 22:00,2240
1/1/1900 22:15,2070
1/1/1900 22:30,1255
1/1/1900 22:45,835
1/1/1900 23:00,306
1/1/1900 23:15,249
1/1/1900 23:30,437
1/1/1900 23:45,374
