,0,1,2
0,1900-01-01 00:00:00,1900-01-01 00:15:00,325
0,1900-01-01 00:15:00,1900-01-01 00:30:00,292
0,1900-01-01 00:30:00,1900-01-01 00:45:00,341
0,1900-01-01 00:45:00,1900-01-01 01:00:00,343
0,1900-01-01 01:00:00,1900-01-01 01:15:00,326
0,1900-01-01 01:15:00,1900-01-01 01:30:00,339
0,1900-01-01 01:30:00,1900-01-01 01:45:00,308
0,1900-01-01 01:45:00,1900-01-01 02:00:00,289
0,1900-01-01 02:00:00,1900-01-01 02:15:00,277
0,1900-01-01 02:15:00,1900-01-01 02:30:00,344
0,1900-01-01 02:30:00,1900-01-01 02:45:00,377
0,1900-01-01 02:45:00,1900-01-01 03:00:00,380
0,1900-01-01 03:00:00,1900-01-01 03:15:00,273
0,1900-01-01 03:15:00,1900-01-01 03:30:00,397
0,1900-01-01 03:30:00,1900-01-01 03:45:00,388
0,1900-01-01 03:45:00,1900-01-01 04:00:00,373
0,1900-01-01 04:00:00,1900-01-01 04:15:00,406
0,1900-01-01 04:15:00,1900-01-01 04:30:00,416
0,1900-01-01 04:30:00,1900-01-01 04:45:00,501
0,1900-01-01 04:45:00,1900-01-01 05:00:00,623
0,1900-01-01 05:00:00,1900-01-01 05:15:00,410
0,1900-01-01 05:15:00,1900-01-01 05:30:00,502
0,1900-01-01 05:30:00,1900-01-01 05:45:00,525
0,1900-01-01 05:45:00,1900-01-01 06:00:00,735
0,1900-01-01 06:00:00,1900-01-01 06:15:00,750
0,1900-01-01 06:15:00,1900-01-01 06:30:00,776
0,1900-01-01 06:30:00,1900-01-01 06:45:00,952
0,1900-01-01 06:45:00,1900-01-01 07:00:00,904
0,1900-01-01 07:00:00,1900-01-01 07:15:00,816
0,1900-01-01 07:15:00,1900-01-01 07:30:00,864
0,1900-01-01 07:30:00,1900-01-01 07:45:00,964
0,1900-01-01 07:45:00,1900-01-01 08:00:00,1170
0,1900-01-01 08:00:00,1900-01-01 08:15:00,1561
0,1900-01-01 08:15:00,1900-01-01 08:30:00,1620
0,1900-01-01 08:30:00,1900-01-01 08:45:00,1679
0,1900-01-01 08:45:00,1900-01-01 09:00:00,1881
0,1900-01-01 09:00:00,1900-01-01 09:15:00,1834
0,1900-01-01 09:15:00,1900-01-01 09:30:00,1672
0,1900-01-01 09:30:00,1900-01-01 09:45:00,1462
0,1900-01-01 09:45:00,1900-01-01 10:00:00,1352
0,1900-01-01 10:00:00,1900-01-01 10:15:00,1338
0,1900-01-01 10:15:00,1900-01-01 10:30:00,1430
0,1900-01-01 10:30:00,1900-01-01 10:45:00,1419
0,1900-01-01 10:45:00,1900-01-01 11:00:00,1354
0,1900-01-01 11:00:00,1900-01-01 11:15:00,1527
0,1900-01-01 11:15:00,1900-01-01 11:30:00,1797
0,1900-01-01 11:30:00,1900-01-01 11:45:00,1544
0,1900-01-01 11:45:00,1900-01-01 12:00:00,1532
0,1900-01-01 12:00:00,1900-01-01 12:15:00,1291
0,1900-01-01 12:15:00,1900-01-01 12:30:00,1305
0,1900-01-01 12:30:00,1900-01-01 12:45:00,1281
0,1900-01-01 12:45:00,1900-01-01 13:00:00,1173
0,1900-01-01 13:00:00,1900-01-01 13:15:00,1241
0,1900-01-01 13:15:00,1900-01-01 13:30:00,1111
0,1900-01-01 13:30:00,1900-01-01 13:45:00,1183
0,1900-01-01 13:45:00,1900-01-01 14:00:00,903
0,1900-01-01 14:00:00,1900-01-01 14:15:00,1005
0,1900-01-01 14:15:00,1900-01-01 14:30:00,1032
0,1900-01-01 14:30:00,1900-01-01 14:45:00,1361
0,1900-01-01 14:45:00,1900-01-01 15:00:00,1453
0,1900-01-01 15:00:00,1900-01-01 15:15:00,1278
0,1900-01-01 15:15:00,1900-01-01 15:30:00,1332
