,0,1,2
0,1900-01-01 00:00:00,1900-01-01 00:15:00,384
0,1900-01-01 00:15:00,1900-01-01 00:30:00,378
0,1900-01-01 00:30:00,1900-01-01 00:45:00,429
0,1900-01-01 00:45:00,1900-01-01 01:00:00,356
0,1900-01-01 01:00:00,1900-01-01 01:15:00,391
0,1900-01-01 01:15:00,1900-01-01 01:30:00,366
0,1900-01-01 01:30:00,1900-01-01 01:45:00,322
0,1900-01-01 01:45:00,1900-01-01 02:00:00,382
0,1900-01-01 02:00:00,1900-01-01 02:15:00,336
0,1900-01-01 02:15:00,1900-01-01 02:30:00,322
0,1900-01-01 02:30:00,1900-01-01 02:45:00,286
0,1900-01-01 02:45:00,1900-01-01 03:00:00,263
0,1900-01-01 03:00:00,1900-01-01 03:15:00,343
0,1900-01-01 03:15:00,1900-01-01 03:30:00,350
0,1900-01-01 03:30:00,1900-01-01 03:45:00,287
0,1900-01-01 03:45:00,1900-01-01 04:00:00,346
0,1900-01-01 04:00:00,1900-01-01 04:15:00,353
0,1900-01-01 04:15:00,1900-01-01 04:30:00,383
0,1900-01-01 04:30:00,1900-01-01 04:45:00,257
0,1900-01-01 04:45:00,1900-01-01 05:00:00,418
0,1900-01-01 05:00:00,1900-01-01 05:15:00,397
0,1900-01-01 05:15:00,1900-01-01 05:30:00,334
0,1900-01-01 05:30:00,1900-01-01 05:45:00,298
0,1900-01-01 05:45:00,1900-01-01 06:00:00,369
0,1900-01-01 06:00:00,1900-01-01 06:15:00,408
0,1900-01-01 06:15:00,1900-01-01 06:30:00,564
0,1900-01-01 06:30:00,1900-01-01 06:45:00,620
0,1900-01-01 06:45:00,1900-01-01 07:00:00,754
0,1900-01-01 07:00:00,1900-01-01 07:15:00,901
0,1900-01-01 07:15:00,1900-01-01 07:30:00,933
0,1900-01-01 07:30:00,1900-01-01 07:45:00,866
0,1900-01-01 07:45:00,1900-01-01 08:00:00,1112
0,1900-01-01 08:00:00,1900-01-01 08:15:00,1471
0,1900-01-01 08:15:00,1900-01-01 08:30:00,1747
0,1900-01-01 08:30:00,1900-01-01 08:45:00,1570
0,1900-01-01 08:45:00,1900-01-01 09:00:00,1545
0,1900-01-01 09:00:00,1900-01-01 09:15:00,1750
0,1900-01-01 09:15:00,1900-01-01 09:30:00,1654
0,1900-01-01 09:30:00,1900-01-01 09:45:00,1597
0,1900-01-01 09:45:00,1900-01-01 10:00:00,1422
0,1900-01-01 10:00:00,1900-01-01 10:15:00,1417
0,1900-01-01 10:15:00,1900-01-01 10:30:00,1207
0,1900-01-01 10:30:00,1900-01-01 10:45:00,1227
0,1900-01-01 10:45:00,1900-01-01 11:00:00,1550
0,1900-01-01 11:00:00,1900-01-01 11:15:00,1580
0,1900-01-01 11:15:00,1900-01-01 11:30:00,1494
0,1900-01-01 11:30:00,1900-01-01 11:45:00,1419
0,1900-01-01 11:45:00,1900-01-01 12:00:00,1585
0,1900-01-01 12:00:00,1900-01-01 12:15:00,1686
0,1900-01-01 12:15:00,1900-01-01 12:30:00,1513
0,1900-01-01 12:30:00,1900-01-01 12:45:00,1481
0,1900-01-01 12:45:00,1900-01-01 13:00:00,1226
0,1900-01-01 13:00:00,1900-01-01 13:15:00,1227
0,1900-01-01 13:15:00,1900-01-01 13:30:00,1338
0,1900-01-01 13:30:00,1900-01-01 13:45:00,1326
0,1900-01-01 13:45:00,1900-01-01 14:00:00,1259
0,1900-01-01 14:00:00,1900-01-01 14:15:00,1571
0,1900-01-01 14:15:00,1900-01-01 14:30:00,1457
0,1900-01-01 14:30:00,1900-01-01 14:45:00,1412
0,1900-01-01 14:45:00,1900-01-01 15:00:00,1453
0,1900-01-01 15:00:00,1900-01-01 15:15:00,1423
0,1900-01-01 15:15:00,1900-01-01 15:30:00,1644
0,1900-01-01 15:30:00,1900-01-01 15:45:00,1225
0,1900-01-01 15:45:00,1900-01-01 16:00:00,1165
0,1900-01-01 16:00:00,1900-01-01 16:15:00,909
0,1900-01-01 16:15:00,1900-01-01 16:30:00,914
0,1900-01-01 16:30:00,1900-01-01 16:45:00,1028
0,1900-01-01 16:45:00,1900-01-01 17:00:00,840
0,1900-01-01 17:00:00,1900-01-01 17:15:00,974
0,1900-01-01 17:15:00,1900-01-01 17:30:00,1221
0,1900-01-01 17:30:00,1900-01-01 17:45:00,1117
0,1900-01-01 17:45:00,1900-01-01 18:00:00,835
0,1900-01-01 18:00:00,1900-01-01 18:15:00,951
0,1900-01-01 18:15:00,1900-01-01 18:30:00,1396
0,1900-01-01 18:30:00,1900-01-01 18:45:00,959
0,1900-01-01 18:45:00,1900-01-01 19:00:00,990
0,1900-01-01 19:00:00,1900-01-01 19:15:00,867
0,1900-01-01 19:15:00,1900-01-01 19:30:00,877
0,1900-01-01 19:30:00,1900-01-01 19:45:00,977
