,0,1,2
0,1900-01-01 00:00:00,1900-01-01 00:15:00,420
0,1900-01-01 00:15:00,1900-01-01 00:30:00,404
0,1900-01-01 00:30:00,1900-01-01 00:45:00,469
0,1900-01-01 00:45:00,1900-01-01 01:00:00,390
0,1900-01-01 01:00:00,1900-01-01 01:15:00,483
0,1900-01-01 01:15:00,1900-01-01 01:30:00,416
0,1900-01-01 01:30:00,1900-01-01 01:45:00,477
0,1900-01-01 01:45:00,1900-01-01 02:00:00,446
0,1900-01-01 02:00:00,1900-01-01 02:15:00,399
0,1900-01-01 02:15:00,1900-01-01 02:30:00,360
0,1900-01-01 02:30:00,1900-01-01 02:45:00,445
0,1900-01-01 02:45:00,1900-01-01 03:00:00,395
0,1900-01-01 03:00:00,1900-01-01 03:15:00,447
0,1900-01-01 03:15:00,1900-01-01 03:30:00,451
0,1900-01-01 03:30:00,1900-01-01 03:45:00,654
0,1900-01-01 03:45:00,1900-01-01 04:00:00,440
0,1900-01-01 04:00:00,1900-01-01 04:15:00,492
0,1900-01-01 04:15:00,1900-01-01 04:30:00,513
0,1900-01-01 04:30:00,1900-01-01 04:45:00,634
0,1900-01-01 04:45:00,1900-01-01 05:00:00,553
0,1900-01-01 05:00:00,1900-01-01 05:15:00,636
0,1900-01-01 05:15:00,1900-01-01 05:30:00,669
0,1900-01-01 05:30:00,1900-01-01 05:45:00,648
0,1900-01-01 05:45:00,1900-01-01 06:00:00,835
0,1900-01-01 06:00:00,1900-01-01 06:15:00,1026
0,1900-01-01 06:15:00,1900-01-01 06:30:00,959
0,1900-01-01 06:30:00,1900-01-01 06:45:00,1032
0,1900-01-01 06:45:00,1900-01-01 07:00:00,1108
0,1900-01-01 07:00:00,1900-01-01 07:15:00,1117
0,1900-01-01 07:15:00,1900-01-01 07:30:00,947
0,1900-01-01 07:30:00,1900-01-01 07:45:00,1304
0,1900-01-01 07:45:00,1900-01-01 08:00:00,1528
0,1900-01-01 08:00:00,1900-01-01 08:15:00,1536
0,1900-01-01 08:15:00,1900-01-01 08:30:00,1694
0,1900-01-01 08:30:00,1900-01-01 08:45:00,1700
0,1900-01-01 08:45:00,1900-01-01 09:00:00,1667
0,1900-01-01 09:00:00,1900-01-01 09:15:00,1673
0,1900-01-01 09:15:00,1900-01-01 09:30:00,1397
0,1900-01-01 09:30:00,1900-01-01 09:45:00,1785
0,1900-01-01 09:45:00,1900-01-01 10:00:00,1673
0,1900-01-01 10:00:00,1900-01-01 10:15:00,1404
0,1900-01-01 10:15:00,1900-01-01 10:30:00,1508
0,1900-01-01 10:30:00,1900-01-01 10:45:00,1531
0,1900-01-01 10:45:00,1900-01-01 11:00:00,1594
0,1900-01-01 11:00:00,1900-01-01 11:15:00,1544
0,1900-01-01 11:15:00,1900-01-01 11:30:00,1536
0,1900-01-01 11:30:00,1900-01-01 11:45:00,1599
0,1900-01-01 11:45:00,1900-01-01 12:00:00,1607
0,1900-01-01 12:00:00,1900-01-01 12:15:00,1686
0,1900-01-01 12:15:00,1900-01-01 12:30:00,1452
0,1900-01-01 12:30:00,1900-01-01 12:45:00,1438
0,1900-01-01 12:45:00,1900-01-01 13:00:00,1385
0,1900-01-01 13:00:00,1900-01-01 13:15:00,1181
0,1900-01-01 13:15:00,1900-01-01 13:30:00,1208
0,1900-01-01 13:30:00,1900-01-01 13:45:00,1493
0,1900-01-01 13:45:00,1900-01-01 14:00:00,1653
0,1900-01-01 14:00:00,1900-01-01 14:15:00,1563
0,1900-01-01 14:15:00,1900-01-01 14:30:00,1589
0,1900-01-01 14:30:00,1900-01-01 14:45:00,1643
0,1900-01-01 14:45:00,1900-01-01 15:00:00,1506
0,1900-01-01 15:00:00,1900-01-01 15:15:00,1525
0,1900-01-01 15:15:00,1900-01-01 15:30:00,1479
0,1900-01-01 15:30:00,1900-01-01 15:45:00,1787
0,1900-01-01 15:45:00,1900-01-01 16:00:00,2020
0,1900-01-01 16:00:00,1900-01-01 16:15:00,1504
0,1900-01-01 16:15:00,1900-01-01 16:30:00,2117
0,1900-01-01 16:30:00,1900-01-01 16:45:00,2162
0,1900-01-01 16:45:00,1900-01-01 17:00:00,1874
0,1900-01-01 17:00:00,1900-01-01 17:15:00,1632
0,1900-01-01 17:15:00,1900-01-01 17:30:00,1873
0,1900-01-01 17:30:00,1900-01-01 17:45:00,2212
0,1900-01-01 17:45:00,1900-01-01 18:00:00,2228
0,1900-01-01 18:00:00,1900-01-01 18:15:00,1720
0,1900-01-01 18:15:00,1900-01-01 18:30:00,2171
