,0,1,2
0,1900-01-01 00:00:00,1900-01-01 00:15:00,482
0,1900-01-01 00:15:00,1900-01-01 00:30:00,504
0,1900-01-01 00:30:00,1900-01-01 00:45:00,534
0,1900-01-01 00:45:00,1900-01-01 01:00:00,431
0,1900-01-01 01:00:00,1900-01-01 01:15:00,534
0,1900-01-01 01:15:00,1900-01-01 01:30:00,422
0,1900-01-01 01:30:00,1900-01-01 01:45:00,331
0,1900-01-01 01:45:00,1900-01-01 02:00:00,484
0,1900-01-01 02:00:00,1900-01-01 02:15:00,444
0,1900-01-01 02:15:00,1900-01-01 02:30:00,451
0,1900-01-01 02:30:00,1900-01-01 02:45:00,582
0,1900-01-01 02:45:00,1900-01-01 03:00:00,471
0,1900-01-01 03:00:00,1900-01-01 03:15:00,390
0,1900-01-01 03:15:00,1900-01-01 03:30:00,453
0,1900-01-01 03:30:00,1900-01-01 03:45:00,378
0,1900-01-01 03:45:00,1900-01-01 04:00:00,439
0,1900-01-01 04:00:00,1900-01-01 04:15:00,532
0,1900-01-01 04:15:00,1900-01-01 04:30:00,624
0,1900-01-01 04:30:00,1900-01-01 04:45:00,503
0,1900-01-01 04:45:00,1900-01-01 05:00:00,432
0,1900-01-01 05:00:00,1900-01-01 05:15:00,535
0,1900-01-01 05:15:00,1900-01-01 05:30:00,538
0,1900-01-01 05:30:00,1900-01-01 05:45:00,498
0,1900-01-01 05:45:00,1900-01-01 06:00:00,546
0,1900-01-01 06:00:00,1900-01-01 06:15:00,814
0,1900-01-01 06:15:00,1900-01-01 06:30:00,853
0,1900-01-01 06:30:00,1900-01-01 06:45:00,837
0,1900-01-01 06:45:00,1900-01-01 07:00:00,806
0,1900-01-01 07:00:00,1900-01-01 07:15:00,912
0,1900-01-01 07:15:00,1900-01-01 07:30:00,1208
0,1900-01-01 07:30:00,1900-01-01 07:45:00,1073
0,1900-01-01 07:45:00,1900-01-01 08:00:00,1339
0,1900-01-01 08:00:00,1900-01-01 08:15:00,1646
0,1900-01-01 08:15:00,1900-01-01 08:30:00,1879
0,1900-01-01 08:30:00,1900-01-01 08:45:00,1913
0,1900-01-01 08:45:00,1900-01-01 09:00:00,1630
0,1900-01-01 09:00:00,1900-01-01 09:15:00,1646
0,1900-01-01 09:15:00,1900-01-01 09:30:00,1710
0,1900-01-01 09:30:00,1900-01-01 09:45:00,1464
0,1900-01-01 09:45:00,1900-01-01 10:00:00,1418
0,1900-01-01 10:00:00,1900-01-01 10:15:00,1657
0,1900-01-01 10:15:00,1900-01-01 10:30:00,1499
0,1900-01-01 10:30:00,1900-01-01 10:45:00,1497
0,1900-01-01 10:45:00,1900-01-01 11:00:00,1492
0,1900-01-01 11:00:00,1900-01-01 11:15:00,1650
0,1900-01-01 11:15:00,1900-01-01 11:30:00,1592
0,1900-01-01 11:30:00,1900-01-01 11:45:00,1500
0,1900-01-01 11:45:00,1900-01-01 12:00:00,1603
0,1900-01-01 12:00:00,1900-01-01 12:15:00,1798
0,1900-01-01 12:15:00,1900-01-01 12:30:00,1617
0,1900-01-01 12:30:00,1900-01-01 12:45:00,1457
0,1900-01-01 12:45:00,1900-01-01 13:00:00,1295
0,1900-01-01 13:00:00,1900-01-01 13:15:00,1319
0,1900-01-01 13:15:00,1900-01-01 13:30:00,1259
0,1900-01-01 13:30:00,1900-01-01 13:45:00,1374
0,1900-01-01 13:45:00,1900-01-01 14:00:00,1326
0,1900-01-01 14:00:00,1900-01-01 14:15:00,1613
0,1900-01-01 14:15:00,1900-01-01 14:30:00,1557
0,1900-01-01 14:30:00,1900-01-01 14:45:00,1582
0,1900-01-01 14:45:00,1900-01-01 15:00:00,1638
0,1900-01-01 15:00:00,1900-01-01 15:15:00,1647
0,1900-01-01 15:15:00,1900-01-01 15:30:00,1809
0,1900-01-01 15:30:00,1900-01-01 15:45:00,1675
0,1900-01-01 15:45:00,1900-01-01 16:00:00,1207
0,1900-01-01 16:00:00,1900-01-01 16:15:00,1018
0,1900-01-01 16:15:00,1900-01-01 16:30:00,1126
0,1900-01-01 16:30:00,1900-01-01 16:45:00,1242
0,1900-01-01 16:45:00,1900-01-01 17:00:00,1043
0,1900-01-01 17:00:00,1900-01-01 17:15:00,1111
0,1900-01-01 17:15:00,1900-01-01 17:30:00,1269
0,1900-01-01 17:30:00,1900-01-01 17:45:00,1080
0,1900-01-01 17:45:00,1900-01-01 18:00:00,999
0,1900-01-01 18:00:00,1900-01-01 18:15:00,941
0,1900-01-01 18:15:00,1900-01-01 18:30:00,1878
0,1900-01-01 18:30:00,1900-01-01 18:45:00,1226
0,1900-01-01 18:45:00,1900-01-01 19:00:00,920
0,1900-01-01 19:00:00,1900-01-01 19:15:00,914
0,1900-01-01 19:15:00,1900-01-01 19:30:00,932
0,1900-01-01 19:30:00,1900-01-01 19:45:00,1119
0,1900-01-01 19:45:00,1900-01-01 20:00:00,1380
0,1900-01-01 20:00:00,1900-01-01 20:15:00,1212
0,1900-01-01 20:15:00,1900-01-01 20:30:00,1137
0,1900-01-01 20:30:00,1900-01-01 20:45:00,1173
0,1900-01-01 20:45:00,1900-01-01 21:00:00,1124
0,1900-01-01 21:00:00,1900-01-01 21:15:00,1050
0,1900-01-01 21:15:00,1900-01-01 21:30:00,890
0,1900-01-01 21:30:00,1900-01-01 21:45:00,858
0,1900-01-01 21:45:00,1900-01-01 22:00:00,616
0,1900-01-01 22:00:00,1900-01-01 22:15:00,775
0,1900-01-01 22:15:00,1900-01-01 22:30:00,1153
0,1900-01-01 22:30:00,1900-01-01 22:45:00,560
0,1900-01-01 22:45:00,1900-01-01 23:00:00,406
0,1900-01-01 23:00:00,1900-01-01 23:15:00,506
0,1900-01-01 23:15:00,1900-01-01 23:30:00,491
0,1900-01-01 23:30:00,1900-01-01 23:45:00,444
0,1900-01-01 23:45:00,1900-01-02 00:00:00,348
