,0,1,2
0,1900-01-01 00:00:00,1900-01-01 00:15:00,583
0,1900-01-01 00:15:00,1900-01-01 00:30:00,515
0,1900-01-01 00:30:00,1900-01-01 00:45:00,586
0,1900-01-01 00:45:00,1900-01-01 01:00:00,513
0,1900-01-01 01:00:00,1900-01-01 01:15:00,477
0,1900-01-01 01:15:00,1900-01-01 01:30:00,493
0,1900-01-01 01:30:00,1900-01-01 01:45:00,512
0,1900-01-01 01:45:00,1900-01-01 02:00:00,581
0,1900-01-01 02:00:00,1900-01-01 02:15:00,515
0,1900-01-01 02:15:00,1900-01-01 02:30:00,444
0,1900-01-01 02:30:00,1900-01-01 02:45:00,540
0,1900-01-01 02:45:00,1900-01-01 03:00:00,409
0,1900-01-01 03:00:00,1900-01-01 03:15:00,426
0,1900-01-01 03:15:00,1900-01-01 03:30:00,485
0,1900-01-01 03:30:00,1900-01-01 03:45:00,868
0,1900-01-01 03:45:00,1900-01-01 04:00:00,581
0,1900-01-01 04:00:00,1900-01-01 04:15:00,641
0,1900-01-01 04:15:00,1900-01-01 04:30:00,472
0,1900-01-01 04:30:00,1900-01-01 04:45:00,682
0,1900-01-01 04:45:00,1900-01-01 05:00:00,539
0,1900-01-01 05:00:00,1900-01-01 05:15:00,677
0,1900-01-01 05:15:00,1900-01-01 05:30:00,618
0,1900-01-01 05:30:00,1900-01-01 05:45:00,722
0,1900-01-01 05:45:00,1900-01-01 06:00:00,701
0,1900-01-01 06:00:00,1900-01-01 06:15:00,970
0,1900-01-01 06:15:00,1900-01-01 06:30:00,903
0,1900-01-01 06:30:00,1900-01-01 06:45:00,1002
0,1900-01-01 06:45:00,1900-01-01 07:00:00,815
0,1900-01-01 07:00:00,1900-01-01 07:15:00,1168
0,1900-01-01 07:15:00,1900-01-01 07:30:00,1309
0,1900-01-01 07:30:00,1900-01-01 07:45:00,1393
0,1900-01-01 07:45:00,1900-01-01 08:00:00,1770
0,1900-01-01 08:00:00,1900-01-01 08:15:00,1883
0,1900-01-01 08:15:00,1900-01-01 08:30:00,1804
0,1900-01-01 08:30:00,1900-01-01 08:45:00,2089
0,1900-01-01 08:45:00,1900-01-01 09:00:00,1906
0,1900-01-01 09:00:00,1900-01-01 09:15:00,2060
0,1900-01-01 09:15:00,1900-01-01 09:30:00,2012
0,1900-01-01 09:30:00,1900-01-01 09:45:00,1539
0,1900-01-01 09:45:00,1900-01-01 10:00:00,1476
0,1900-01-01 10:00:00,1900-01-01 10:15:00,1381
0,1900-01-01 10:15:00,1900-01-01 10:30:00,1598
0,1900-01-01 10:30:00,1900-01-01 10:45:00,1688
0,1900-01-01 10:45:00,1900-01-01 11:00:00,1876
0,1900-01-01 11:00:00,1900-01-01 11:15:00,1682
0,1900-01-01 11:15:00,1900-01-01 11:30:00,1736
0,1900-01-01 11:30:00,1900-01-01 11:45:00,1784
0,1900-01-01 11:45:00,1900-01-01 12:00:00,1875
0,1900-01-01 12:00:00,1900-01-01 12:15:00,2183
0,1900-01-01 12:15:00,1900-01-01 12:30:00,1814
0,1900-01-01 12:30:00,1900-01-01 12:45:00,1633
0,1900-01-01 12:45:00,1900-01-01 13:00:00,1376
0,1900-01-01 13:00:00,1900-01-01 13:15:00,1591
0,1900-01-01 13:15:00,1900-01-01 13:30:00,1782
0,1900-01-01 13:30:00,1900-01-01 13:45:00,1717
0,1900-01-01 13:45:00,1900-01-01 14:00:00,1664
0,1900-01-01 14:00:00,1900-01-01 14:15:00,1824
0,1900-01-01 14:15:00,1900-01-01 14:30:00,1936
0,1900-01-01 14:30:00,1900-01-01 14:45:00,2059
0,1900-01-01 14:45:00,1900-01-01 15:00:00,1825
0,1900-01-01 15:00:00,1900-01-01 15:15:00,1771
0,1900-01-01 15:15:00,1900-01-01 15:30:00,1948
0,1900-01-01 15:30:00,1900-01-01 15:45:00,2212
0,1900-01-01 15:45:00,1900-01-01 16:00:00,1659
0,1900-01-01 16:00:00,1900-01-01 16:15:00,1454
0,1900-01-01 16:15:00,1900-01-01 16:30:00,1704
0,1900-01-01 16:30:00,1900-01-01 16:45:00,1621
0,1900-01-01 16:45:00,1900-01-01 17:00:00,1724
0,1900-01-01 17:00:00,1900-01-01 17:15:00,1684
0,1900-01-01 17:15:00,1900-01-01 17:30:00,1842
0,1900-01-01 17:30:00,1900-01-01 17:45:00,1435
0,1900-01-01 17:45:00,1900-01-01 18:00:00,1181
0,1900-01-01 18:00:00,1900-01-01 18:15:00,1048
0,1900-01-01 18:15:00,1900-01-01 18:30:00,1818
0,1900-01-01 18:30:00,1900-01-01 18:45:00,1503
0,1900-01-01 18:45:00,1900-01-01 19:00:00,1434
0,1900-01-01 19:00:00,1900-01-01 19:15:00,1190
0,1900-01-01 19:15:00,1900-01-01 19:30:00,1403
0,1900-01-01 19:30:00,1900-01-01 19:45:00,1474
0,1900-01-01 19:45:00,1900-01-01 20:00:00,1347
0,1900-01-01 20:00:00,1900-01-01 20:15:00,1516
0,1900-01-01 20:15:00,1900-01-01 20:30:00,1556
0,1900-01-01 20:30:00,1900-01-01 20:45:00,1565
0,1900-01-01 20:45:00,1900-01-01 21:00:00,1391
0,1900-01-01 21:00:00,1900-01-01 21:15:00,1504
0,1900-01-01 21:15:00,1900-01-01 21:30:00,1269
0,1900-01-01 21:30:00,1900-01-01 21:45:00,1134
0,1900-01-01 21:45:00,1900-01-01 22:00:00,891
0,1900-01-01 22:00:00,1900-01-01 22:15:00,883
0,1900-01-01 22:15:00,1900-01-01 22:30:00,1268
0,1900-01-01 22:30:00,1900-01-01 22:45:00,687
0,1900-01-01 22:45:00,1900-01-01 23:00:00,534
0,1900-01-01 23:00:00,1900-01-01 23:15:00,666
0,1900-01-01 23:15:00,1900-01-01 23:30:00,564
0,1900-01-01 23:30:00,1900-01-01 23:45:00,661
0,1900-01-01 23:45:00,1900-01-02 00:00:00,544
