,0,1,2
0,1900-01-01 00:00:00,1900-01-01 00:15:00,512
0,1900-01-01 00:15:00,1900-01-01 00:30:00,349
0,1900-01-01 00:30:00,1900-01-01 00:45:00,432
0,1900-01-01 00:45:00,1900-01-01 01:00:00,475
0,1900-01-01 01:00:00,1900-01-01 01:15:00,445
0,1900-01-01 01:15:00,1900-01-01 01:30:00,366
0,1900-01-01 01:30:00,1900-01-01 01:45:00,451
0,1900-01-01 01:45:00,1900-01-01 02:00:00,460
0,1900-01-01 02:00:00,1900-01-01 02:15:00,444
0,1900-01-01 02:15:00,1900-01-01 02:30:00,398
0,1900-01-01 02:30:00,1900-01-01 02:45:00,382
0,1900-01-01 02:45:00,1900-01-01 03:00:00,503
0,1900-01-01 03:00:00,1900-01-01 03:15:00,409
0,1900-01-01 03:15:00,1900-01-01 03:30:00,518
0,1900-01-01 03:30:00,1900-01-01 03:45:00,465
0,1900-01-01 03:45:00,1900-01-01 04:00:00,511
0,1900-01-01 04:00:00,1900-01-01 04:15:00,566
0,1900-01-01 04:15:00,1900-01-01 04:30:00,473
0,1900-01-01 04:30:00,1900-01-01 04:45:00,555
0,1900-01-01 04:45:00,1900-01-01 05:00:00,589
0,1900-01-01 05:00:00,1900-01-01 05:15:00,598
0,1900-01-01 05:15:00,1900-01-01 05:30:00,553
0,1900-01-01 05:30:00,1900-01-01 05:45:00,605
0,1900-01-01 05:45:00,1900-01-01 06:00:00,651
0,1900-01-01 06:00:00,1900-01-01 06:15:00,972
0,1900-01-01 06:15:00,1900-01-01 06:30:00,926
0,1900-01-01 06:30:00,1900-01-01 06:45:00,946
0,1900-01-01 06:45:00,1900-01-01 07:00:00,1104
0,1900-01-01 07:00:00,1900-01-01 07:15:00,975
0,1900-01-01 07:15:00,1900-01-01 07:30:00,901
0,1900-01-01 07:30:00,1900-01-01 07:45:00,1035
0,1900-01-01 07:45:00,1900-01-01 08:00:00,1193
0,1900-01-01 08:00:00,1900-01-01 08:15:00,1387
